,blockchain,category,contract_address,decimals,from,time,to,token,value
0,bnb,from,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-29 00:00:00.000 UTC,0x68099476b9fb5ab5884caa4587cf11716049c4d2,busd-binance-usd,100000000000000
1,,from,0x23b891e5c62e0955ae2bd185990103928ab817b3,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-15 00:00:00.000 UTC,0x0056580b0e8136c482b03760295f912279170d46,,41249640000000000000000
2,bnb,from,0x55d398326f99059ff775485246999027b3197955,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-26 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,usdt-tether,56863841320114916352715
3,,from,0xdd17344f7537df99f212a08f5a5480af9f6c083a,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-07 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,,659917185557634076211201
4,,from,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-26 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,usdc-usd-coin,251060418318581325571073
5,,from,0x42f6f551ae042cbe50c739158b4f0cac0edb9096,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-28 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,,96153846200000000000000
6,,from,0x42f6f551ae042cbe50c739158b4f0cac0edb9096,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-09-12 00:00:00.000 UTC,0x3393721aa06579a2163a39a8a0d1cc1a6ab6021a,,10000000000000000000000
7,bnb,from,0x55d398326f99059ff775485246999027b3197955,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2023-05-16 00:00:00.000 UTC,0x8b7a9c0818809dea97cb9adaf90b6d4266cd3437,usdt-tether,0
8,bnb,from,0x55d398326f99059ff775485246999027b3197955,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-15 00:00:00.000 UTC,0x0056580b0e8136c482b03760295f912279170d46,usdt-tether,20077630000000000000000
9,bnb,from,0x55d398326f99059ff775485246999027b3197955,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-27 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,usdt-tether,200000000000000000000000
10,,from,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2022-03-25 00:00:00.000 UTC,0xdc263c6f9223c1f8c1916ab234c8616d6bee31cf,usdc-usd-coin,1124430617363350127165896
11,,from,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-28 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,usdc-usd-coin,300000000000000000000000
12,,from,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-09-01 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,usdc-usd-coin,150000000000000000000000
13,bnb,from,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-15 00:00:00.000 UTC,0x0056580b0e8136c482b03760295f912279170d46,usdc-usd-coin,13989638911344642420156
14,bnb,from,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-26 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,busd-binance-usd,234704519850780727622973
15,bnb,from,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-15 00:00:00.000 UTC,0x0056580b0e8136c482b03760295f912279170d46,busd-binance-usd,17188565483237499752522
16,bnb,from,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-29 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,busd-binance-usd,1000000000000000000000
17,,from,0xf0b8b631145d393a767b4387d08aa09969b2dfed,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-11-15 00:00:00.000 UTC,0x0056580b0e8136c482b03760295f912279170d46,,164393000000000000000000
18,,from,0x35ce243e0dc9ed77e3c348bb2742095f78e1cb70,,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,2021-08-26 00:00:00.000 UTC,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,,117298910159917824554100
19,,in,0x27a339d9b59b21390d7209b78a839868e319301b,,0xc96f767122178a1ff11521e2a6d74c318bcc445f,2022-05-11 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,15000000000000000000
20,,in,0xbb368656efa67361b0063fe0f11cb08bd460246d,,0xf3c19442c68a7f708c546e1704a8258bf6c8d0d0,2022-10-13 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,99999999
21,,in,0x1882c296ebfa916a0ad194cfa0094c5e0086ba03,,0x1882c296ebfa916a0ad194cfa0094c5e0086ba03,2021-08-27 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,950005000000000000000000
22,,in,0xe8d6eccf4df7067a52d43495c11b69deeedb965e,,0xe8d6eccf4df7067a52d43495c11b69deeedb965e,2022-06-24 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,207961000000000000000000
23,,in,0x15351604e617d9f645b53ee211d9c95ba88297df,,0x15351604e617d9f645b53ee211d9c95ba88297df,2021-08-26 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,70400000000000000000000
24,,in,0xf2511b5e4fb0e5e2d123004b672ba14850478c14,,0xd94ac9fb78dd9b3feb0ec39f38d86d2ee5ba6b06,2022-02-08 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,480834502420632575864431
25,bnb,in,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,0x28ec0b36f0819ecb5005cab836f4ed5a2eca4d13,2021-11-15 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,usdc-usd-coin,5535366782571572090264
26,,in,0x23b891e5c62e0955ae2bd185990103928ab817b3,,0x28ec0b36f0819ecb5005cab836f4ed5a2eca4d13,2021-11-15 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,16152760698776441706081
27,bnb,in,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,0x28ec0b36f0819ecb5005cab836f4ed5a2eca4d13,2021-11-15 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,busd-binance-usd,7734200504181774853121
28,,in,0x54261774905f3e6e9718f2abb10ed6555cae308a,,0xd94ac9fb78dd9b3feb0ec39f38d86d2ee5ba6b06,2022-02-08 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,81682311
29,,in,0xdfb8603d947ab42fb76eb3bb14d9dde4334130d2,,0xdfb8603d947ab42fb76eb3bb14d9dde4334130d2,2022-03-25 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,58397000000000000000000
30,,in,0x728d5a1f2ab5cdc72606a5c4f3a489f50125ff02,,0x55d398326f99059ff775485246999027b3197955,2022-07-24 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,45000000000000000000000
31,,in,0xbb368656efa67361b0063fe0f11cb08bd460246d,,0xf3c19442c68a7f708c546e1704a8258bf6c8d0d0,2022-10-13 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,1
32,bnb,in,0x55d398326f99059ff775485246999027b3197955,18.0,0x28ec0b36f0819ecb5005cab836f4ed5a2eca4d13,2021-11-15 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,usdt-tether,10155179799104320146561
33,bnb,in,0x55d398326f99059ff775485246999027b3197955,18.0,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,2021-08-19 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,usdt-tether,56863841320114916352715
34,,in,0x35ce243e0dc9ed77e3c348bb2742095f78e1cb70,,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,2021-08-19 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,117298910159917824554100
35,,in,0xdd17344f7537df99f212a08f5a5480af9f6c083a,,0x3168082c31dc4b03ac752fb43d1c3bf8ae6ee9ae,2021-08-19 00:00:00.000 UTC,0xa316d83e67eefd136f4c077de1cd4163a681f8a8,,659917185557634076211201
