,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,from,0xe264cb5a941f98a391b9d5244378edf79bf5c19e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-05-07 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,USD LP,6.016215e+22,arbitrum-one,USD-LP,18.0,60162.149999999994
1,from,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-05-07 00:00:00.000 UTC,0x1d9bfc24d9e7eeda4119ceca11eaf4c24e622e62,nUSD,8.946e+19,arbitrum-one,nUSD,18.0,89.46
2,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-03-09 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nETH,2e+19,arbitrum-one,nETH,18.0,19.999999999999996
3,from,0x080f6aed32fc474dd5717105dba5ea57268f46eb,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-05-07 00:00:00.000 UTC,0xb573a1a496a048436f493e662612d875b08a97f5,snx-synthetix-network-token,1e+23,arbitrum-one,syn,18.0,99999.99999999999
4,from,0x080f6aed32fc474dd5717105dba5ea57268f46eb,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-05-07 00:00:00.000 UTC,0x65ddd0cb5c06c642c344efddbccab97031e0f2ba,snx-synthetix-network-token,1e+23,arbitrum-one,syn,18.0,99999.99999999999
5,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-05-07 00:00:00.000 UTC,0x0000000000000000000000000000000000000000,nETH,2.1e+19,arbitrum-one,nETH,18.0,20.999999999999996
6,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2021-11-12 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nETH,3.2e+19,arbitrum-one,nETH,18.0,31.999999999999996
7,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2021-11-01 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nETH,1e+19,arbitrum-one,nETH,18.0,9.999999999999998
8,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2022-02-18 00:00:00.000 UTC,0x4bd970cef843c27d77d1f531336765dcc4b29c18,nETH,1.05e+19,arbitrum-one,nETH,18.0,10.499999999999998
9,from,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x940279d22eb27415f2b0a0ee6287749b5b19f43d,2021-10-28 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nETH,1e+19,arbitrum-one,nETH,18.0,9.999999999999998
