,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,from,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,Dai Stablecoin,1.0218968e+23,avalanche,DAI.e,18.0,102189.68
1,from,0xc7198437980c041c805a1edcba50c1ce5db95118,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,Tether USD,57730370000.0,avalanche,USDT.e,6.0,57730.369999999995
2,from,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,USD Coin,374709140000.0,avalanche,USDC.e,6.0,374709.13999999996
3,from,0x55904f416586b5140a0f666cf5acf320adf64846,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,USD LP,6.5154234e+23,avalanche,USD-LP,18.0,651542.34
4,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2022-01-05 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,nUSD,2e+22,avalanche,nUSD,18.0,19999.999999999996
5,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,4.39528e+21,avalanche,nUSD,18.0,4395.28
6,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-12-02 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,nUSD,5e+22,avalanche,nUSD,18.0,49999.99999999999
7,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2022-01-05 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,nUSD,2.375e+22,avalanche,nUSD,18.0,23749.999999999996
8,from,0x321e7092a180bb43555132ec53aaa65a5bf84251,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-30 00:00:00.000 UTC,0xb10209bfbb37d38ec1b5f0c964e489564e223ea7,Governance OHM,1.75e+20,avalanche,gOHM,18.0,174.99999999999997
9,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-15 00:00:00.000 UTC,0xf725826f20660798c945e9e36fef575492d58f64,nUSD,9.87161314e+24,avalanche,nUSD,18.0,9871613.139999999
