,date,usd_amount
0,2021-10,41537.528447101286
1,2021-11,31230.681706693897
2,2021-12,75328.37615783079
3,2022-01,26808.27065920082
4,2022-02,31512.21742417658
5,2022-03,32220.711068908047
6,2022-04,33360.03862239904
7,2022-05,16917.20112709673
8,2022-06,8015.73510294414
9,2022-07,19130.664073295913
10,2022-08,14958.818310524239
11,2022-09,16546.364865368956
12,2022-10,12976.384376303165
13,2022-11,7923.231727520737
14,2022-12,6220.204811782871
15,2023-01,8671.504249760099
16,2023-02,15821.18483841744
17,2023-03,10778.138059407882
18,2023-04,9956.532623188486
19,2023-05,7785.905869350719
20,2023-06,7859.888395854977
21,2023-07,8806.994519279251
