,date,usd_amount
0,2021-08,8620553.587231109
1,2021-09,2054050.3224837084
2,2021-10,1557052.8077312214
3,2021-11,984113.7623359237
4,2021-12,802129.7608253114
5,2022-01,751554.384752898
6,2022-02,2178972.2512475825
7,2022-03,1070349.0309482417
8,2022-04,1041578.8647029642
9,2022-05,977120.0617190197
10,2022-06,952838.8737976153
11,2022-07,960178.4475904596
12,2022-08,946731.5947234575
13,2022-09,946360.5452362857
14,2022-10,946010.0337156365
15,2022-11,933206.5948527823
16,2022-12,933777.9299228529
17,2023-01,948826.851868737
18,2023-02,951324.4643098239
19,2023-03,960217.1916614596
20,2023-04,963686.7115169105
21,2023-05,956493.9978160637
22,2023-06,959065.9089323732
23,2023-07,958753.5744345308
