,blockchain,category,contract_address,decimals,from,time,to,token,value
0,,in,0x1d2dae7a35da988767c9c99d7f9bfecf19fa0076,,0x0000000000000000000000000000000000001010,2023-05-27 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,331
1,,in,0x046caedea2cb59629d1ed91117c28a116d12a8c3,,0x2e618eabe66818f4c6718c24f59c5694f0b2735a,2023-01-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,29367000000000000000000
2,polygon,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18.0,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,dai-dai,3413898582451921576418
3,polygon,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18.0,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,dai-dai,650454247437760933846
4,polygon,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18.0,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2022-03-10 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,dai-dai,10159159260854676084121
5,,in,0x81067076dcb7d3168ccf7036117b9d72051205e2,,0x81067076dcb7d3168ccf7036117b9d72051205e2,2021-09-22 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,800000000000000000000000
6,,in,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,122727282040138142060
7,polygon,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18.0,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,dai-dai,1333429595618979533306
8,,in,0x128a587555d1148766ef4327172129b50ec66e5d,,0x96cf323e477ec1e17a4197bdcc6f72bb2502756a,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,30011183135269449415945
9,polygon,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6.0,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,usdc-usd-coin,4077613368
10,,in,0x0b91b07beb67333225a5ba0259d55aee10e3a578,,0x0b91b07beb67333225a5ba0259d55aee10e3a578,2022-01-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,30000000000000
11,,in,0xb6c473756050de474286bed418b77aeac39b02af,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-08 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,12740123314266732917860
12,polygon,in,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18.0,0xd9d2114c8ea72298d5748f9684b4aadfec6731a3,2022-05-16 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,wmatic-wrapped-matic-wormhole,18362050261584503980864
13,,in,0xa9de045d9e8b619ed12fc4947f10d371621de492,,0x0000000000000000000000000000000000000000,2022-03-31 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,18472180000000000000000
14,,in,0xa9de045d9e8b619ed12fc4947f10d371621de492,,0x3bd3e95d1a1436fc0fe56c6a737b8c4caa8da049,2022-06-01 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,57365941039801600000000
15,,in,0xa9de045d9e8b619ed12fc4947f10d371621de492,,0x3bd3e95d1a1436fc0fe56c6a737b8c4caa8da049,2022-05-01 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,16030741693876200000000
16,polygon,in,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6.0,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2022-03-10 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,usdt-tether,8833493503
17,,in,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-09-29 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,668508219587871995198
18,,in,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,45197010633321037994
19,,in,0xdc8282fcde3b35c50cf2d273d829c7ee114b2f25,,0xcc73492b90f981171924a9aeafd647d03fcc3b46,2023-04-18 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,969000000000000000000
20,,in,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2022-01-20 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,106588453034850872181
21,polygon,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6.0,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2022-03-10 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,usdc-usd-coin,11074602466
22,,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,,0xd152f549545093347a162dce210e7293f1452150,2022-07-25 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,839000000000000000000000
23,,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,,0xd152f549545093347a162dce210e7293f1452150,2021-12-14 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,923000000000000000000000
24,,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,,0xd152f549545093347a162dce210e7293f1452150,2022-02-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,67318000000000000000000
25,,in,0x52f3b30922d252151d72746dd325390a4e3fa1fb,,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,2022-07-30 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,2200000000000000000000
26,polygon,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6.0,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,usdc-usd-coin,6945089630
27,polygon,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6.0,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,usdc-usd-coin,10735619731
28,,in,0x2e618eabe66818f4c6718c24f59c5694f0b2735a,,0x4c23d301ed0dbf717706c3539b5cf32ab799ad9a,2023-01-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,29367000000000
29,,in,0xb6c473756050de474286bed418b77aeac39b02af,,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,7669539862991665898873
30,,in,0xb6c473756050de474286bed418b77aeac39b02af,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,17833152863161945265104
31,,in,0xb6c473756050de474286bed418b77aeac39b02af,,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2022-10-02 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,199195229069093522321461
32,,in,0x02677c45fa858b9ffec24fc791bf72cdf4a8a8df,,0x7573a10580c1dd3e7286dc633e9cb12556485921,2021-11-17 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,91968523936430252080000000000
33,,in,0xb6c473756050de474286bed418b77aeac39b02af,,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,,4569066059355078330641
