,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,8.4e+21,ethereum,NEWO,18.0,8399.999999999998
1,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-06-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,7.65e+22,ethereum,NEWO,18.0,76500.0
4,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-09-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,8.900198152543464e+22,ethereum,NEWO,18.0,89001.98152543463
5,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,4.41e+22,ethereum,NEWO,18.0,44099.99999999999
6,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,3.39e+22,ethereum,NEWO,18.0,33900.0
7,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-11 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,New Order,2.7708583331359785e+22,ethereum,NEWO,18.0,27708.58333135978
9,from,0x622236bb180256b6ae1a935dae08dc0356141632,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-28 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,Mirror Write Token,1e+18,ethereum,WRITE,18.0,0.9999999999999999
10,in,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x5f99880830fd4a6f3ff0c5371db57ddec57259e2,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,SushiSwap LP Token,1.6802218477080136e+22,ethereum,SLP,18.0,16802.218477080136
12,from,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-10-08 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,Wrapped Ether,6.122383483542619e+17,ethereum,WETH,18.0,0.6122383483542618
13,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,The Doge NFT,1e+22,ethereum,DOG,18.0,9999.999999999998
