,date,usd_amount
0,2021-08,0.9993568461762197
1,2021-09,1501736.3977630825
2,2021-10,520549.85592778947
3,2021-11,12280254.038863117
4,2021-12,12881529.467919847
5,2022-01,11455151.512045488
6,2022-02,14465342.973332398
7,2022-03,15278105.839222552
8,2022-04,15876880.03262575
9,2022-05,8322653.129288069
10,2022-06,4018867.0917585916
11,2022-07,9591542.9014045
12,2022-08,7498172.2753632385
13,2022-09,8127156.013319756
14,2022-10,6752863.057852075
15,2022-11,4264225.732317093
16,2022-12,4738730.968839523
17,2023-01,6537329.016806158
18,2023-02,10446390.710749956
19,2023-03,7914731.877606395
20,2023-04,7533059.806566571
21,2023-05,7295912.342260426
22,2023-06,7288732.543438702
23,2023-07,7385390.819970364
