,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,in,0x7c7d0b2362294474c218e2dcf31be03fd2d00c80,0x0000000000000000000000000000000000000000,2022-02-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Solidly,7.27329e+23,fantom,SOLID,18.0,727328.9999999999
1,in,0xde8eadffd0d31a1095252c2cdc9f69917e60e85c,0x8d3f9fb3312d66df033f0d79b6ab9a37216ad459,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Solidly Protocol,676304.0,fantom,Solidly,18.0,6.763039999999999e-13
2,in,0xbe0e67fb615014b755af404cfa36fa740f1c8a9f,0x0000000000000000000000000000000000000000,2022-02-07 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veNFT,7.27329e+23,fantom,veNFT,18.0,727328.9999999999
3,in,0xde8eadffd0d31a1095252c2cdc9f69917e60e85c,0x8d3f9fb3312d66df033f0d79b6ab9a37216ad459,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Solidly Protocol,6.76304e+23,fantom,Solidly,18.0,676304.0
4,in,0x43cf58380e69594fa2a5682de484ae00edd83e94,0x1f6a0656ff5061930076bf0386b02091e0839f9f,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,USD LP,5.143903248232977e+22,fantom,USD-LP,18.0,51439.03248232977
5,in,0x33edf098e1da3685587ff0f56270c5b44614a21c,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veNFT,7.27329e+23,fantom,veNFT,18.0,727328.9999999999
7,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,2.7146327875903673e+22,fantom,MIM,18.0,27146.32787590367
8,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,4.761092991154432e+22,fantom,MIM,18.0,47610.929911544314
9,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,2.2119333117067057e+21,fantom,MIM,18.0,2211.9333117067054
10,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,4.304468302249215e+21,fantom,MIM,18.0,4304.4683022492145
11,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,9.81725686616453e+21,fantom,MIM,18.0,9817.25686616453
12,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,4.450895051685554e+21,fantom,MIM,18.0,4450.895051685554
14,in,0xf213da0cbe5c3b54882abe25c24222c980e7daef,0x0000000000000000000000000000000000000000,2022-02-04 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Solidly,7.27329e+23,fantom,SOLID,18.0,727328.9999999999
17,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,5.464213272888232e+19,fantom,MIM,18.0,54.642132728882316
19,in,0x82f0b8b456c1a451378467398982d4834b6829c1,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Magic Internet Money,5.214026124244468e+21,fantom,MIM,18.0,5214.026124244468
20,in,0xa7f09e7be9e7b777126003dab2fa4161f5325343,0xa7f09e7be9e7b777126003dab2fa4161f5325343,2022-06-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,0Apes.net,150000000000000.0,fantom,Ape-Peg,8.0,1500000.0
21,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,5.487759360500541e+20,fantom,SYN,18.0,548.775936050054
22,in,0x8ab54968a3625f4e4b91da4175a73a126b1d2e71,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,veNFT,727329.0,fantom,veNFT,18.0,7.273289999999999e-13
24,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,1.6314650602821547e+20,fantom,SYN,18.0,163.14650602821544
25,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,2.3819184656068303e+20,fantom,SYN,18.0,238.191846560683
26,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,2.875606578249504e+20,fantom,SYN,18.0,287.56065782495034
27,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,0x879e748ec718717c7a33496b695c569f0901965d,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,Synapse,3.756143939922994e+20,fantom,SYN,18.0,375.61439399229937
