,date,usd_amount
0,2021-11,195831.1858372828
1,2021-12,106511.65800029929
2,2022-01,106471.38664685361
3,2022-02,106575.67487176378
4,2022-03,160216.37574226354
5,2022-04,137157.00200014288
6,2022-05,96728.68104769819
7,2022-06,54538.332748031135
8,2022-07,83446.65437105896
9,2022-08,74843.3049606075
10,2022-09,66324.42163526065
11,2022-10,77486.97864166029
12,2022-11,59819.3005872176
13,2022-12,58673.73087238732
14,2023-01,76200.68374965075
15,2023-02,80257.45748305607
16,2023-03,86756.1509074815
17,2023-04,91764.9908932201
18,2023-05,106811.94620471506
19,2023-06,104787.93599800665
20,2023-07,106447.18585546545
