,date,usd_amount
0,2021-12,18795.092642020114
1,2022-01,10600.068453345404
2,2022-02,10652.484251004686
3,2022-03,13723.389130646538
4,2022-04,11424.917276968852
5,2022-05,8086.151932457254
6,2022-06,4460.915172615779
7,2022-07,6880.397970634288
8,2022-08,6176.733236906911
9,2022-09,5400.275366556523
10,2022-10,6443.216916939614
11,2022-11,4937.755918804328
12,2022-12,4860.749343507949
13,2023-01,6359.530429187955
14,2023-02,6627.041010135199
15,2023-03,350542.600523187
16,2023-04,334700.7186200548
17,2023-05,220631.60696748592
18,2023-06,190946.1770597268
19,2023-07,236513.20594345644
