,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,in,0x1d2dae7a35da988767c9c99d7f9bfecf19fa0076,0x0000000000000000000000000000000000001010,2023-05-27 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nETH,331.0,polygon-pos,nETH,18.0,3.3099999999999996e-16
2,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Dai Stablecoin,3.4138985824519214e+21,polygon-pos,DAI,18.0,3413.898582451921
3,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Dai Stablecoin,6.50454247437761e+20,polygon-pos,DAI,18.0,650.454247437761
4,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2022-03-10 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Dai Stablecoin,1.0159159260854677e+22,polygon-pos,DAI,18.0,10159.159260854676
6,in,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,Synapse,1.2272728204013814e+20,polygon-pos,SYN,18.0,122.72728204013812
7,in,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Dai Stablecoin,1.3334295956189796e+21,polygon-pos,DAI,18.0,1333.4295956189794
8,in,0x128a587555d1148766ef4327172129b50ec66e5d,0x96cf323e477ec1e17a4197bdcc6f72bb2502756a,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,USD LP,3.001118313526945e+22,polygon-pos,USD-LP,18.0,30011.183135269446
9,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,USD Coin (PoS),4077613368.0,polygon-pos,USDC,6.0,4077.613368
10,in,0x0b91b07beb67333225a5ba0259d55aee10e3a578,0x0b91b07beb67333225a5ba0259d55aee10e3a578,2022-01-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,Minereum Polygon,30000000000000.0,polygon-pos,MNEP,8.0,300000.0
11,in,0xb6c473756050de474286bed418b77aeac39b02af,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-08 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.2740123314266732e+22,polygon-pos,nUSD,18.0,12740.123314266732
12,in,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xd9d2114c8ea72298d5748f9684b4aadfec6731a3,2022-05-16 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,Wrapped Matic,1.8362050261584504e+22,polygon-pos,WMATIC,18.0,18362.050261584503
13,in,0xa9de045d9e8b619ed12fc4947f10d371621de492,0x0000000000000000000000000000000000000000,2022-03-31 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,Polygon Liquidity Mining,1.847218e+22,polygon-pos,PLM,18.0,18472.18
