blockchain,contract_address,ticker,decimal
arbitrum-one,0x080f6aed32fc474dd5717105dba5ea57268f46eb,syn,18
arbitrum-one,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,usdt,6
arbitrum-one,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,dai,18
arbitrum-one,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,usdc.e,6
arbitrum-one,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,weth,18
avalanche,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,dai,18
avalanche,0xc7198437980c041c805a1edcba50c1ce5db95118,usdte,6
avalanche,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,usdc,6
avalanche,0x321e7092a180bb43555132ec53aaa65a5bf84251,gohm,18
avalanche,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,wavax,18
avalanche,0x1f1e7c893855525b303f99bdf5c3c05be09ca251,syn,18
binance-smart-chain,0xe9e7cea3dedca5984780bafc599bd69add087d56,busd,18
binance-smart-chain,0x55d398326f99059ff775485246999027b3197955,usdt,18
binance-smart-chain,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,usdc,18
binance-smart-chain,0x42f6f551ae042cbe50c739158b4f0cac0edb9096,nrv,18
binance-smart-chain,0x27a339d9b59b21390d7209b78a839868e319301b,open,18
binance-smart-chain,0x07663837218a003e66310a01596af4bf4e44623d,rusd,18
binance-smart-chain,0x23396cf899ca06c4472205fc903bdb4de249d6fc,ustc,18
binance-smart-chain,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,btcb,18
fantom,0x82f0b8b456c1a451378467398982d4834b6829c1,mim,18
fantom,0xe55e19fb4f2d85af758950957714292dac1e25b2,syn,18
fantom,0x049d68029688eabf473097a2fc38ef61633a3c7a,usdt,6
fantom,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,wftm,18
fantom,0x04068da6c83afcfa0e13ba15a6696662335d5b75,usdc,6
fantom,0x74b23882a30290451a17c44f4f05243b6b58c76d,weth,18
fantom,0x9879abdea01a879644185341f7af7d8343556b7a,tusd,18
ethereum,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,newo,18
ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,weth,18
ethereum,0xbaac2b4491727d78d2b78815144570b9f2fe8899,dog,18
ethereum,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,tribe,18
ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,usdc,6
ethereum,0x0642026e7f0b6ccac5925b4e7fa61384250e1701,h2o,18
ethereum,0x71ab77b7dbb4fa7e017bc15090b2163221420282,high,18
ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,dai,18
ethereum,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,gohm,18
ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,link,18
ethereum,0x853d955acef822db058eb8505911ed77f175b99e,frax,18
ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,wbtc,8
ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,usdt,6
ethereum,0x0f2d719407fdbeff09d87557abb7232601fd9f29,syn,18
ethereum,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,ageur,18
ethereum,0xb753428af26e81097e7fd17f40c88aaa3e04902c,sfi,18
ethereum,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,sdt,18
optimistic-ethereum,0x4200000000000000000000000000000000000042,op,18
optimistic-ethereum,0x4200000000000000000000000000000000000006,weth,18
polygon-pos,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,dai,18
polygon-pos,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,syn,18
polygon-pos,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,usdc,6
polygon-pos,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,wmatic,18
polygon-pos,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,usdt,6
polygon-pos,0xd8ca34fd379d9ca3c6ee3b3905678320f5b45195,gohm,18
